SurveyDay,NumberOf12HourDays,RefRoad,NLightLorries_12,NMediumLorries_12,NHeavyLorries_12,NVeryHeavyLorries_12,NLargeBuses_12,Total,Region
1,3,1,1,14,15,16,18,64,ARUSHA
2,1,1,114,169,146,220,190,839,ARUSHA
1,1,1,166,287,160,190,225,1028,ARUSHA
2,1,1,34,33,35,36,38,176,ARUSHA
2,1,1,444,366,311,299,289,1709,ARUSHA
2,1,1,277,267,234,224,239,1241,ARUSHA
2,1,1,166,230,44,52,34,526,ARUSHA
2,1,1,46,124,83,63,19,335,ARUSHA
2,1,1,16,65,12,57,17,167,ARUSHA
3,1,1,5,61,38,70,13,187,ARUSHA
2,1,1,23,44,33,52,25,177,ARUSHA
3,1,1,18,80,34,7,14,153,ARUSHA
3,1,1,9,45,52,61,134,301,ARUSHA
3,1,1,71,143,67,82,134,497,ARUSHA
3,1,1,608,457,243,323,217,1848,ARUSHA
4,1,1,6,16,5,1,16,44,ARUSHA
2,1,1,35,42,9,7,12,105,ARUSHA
1,1,1,17,56,7,11,19,110,ARUSHA
3,1,1,3,6,0,0,0,9,ARUSHA
3,1,1,5,34,8,0,1,48,ARUSHA
1,1,1,37,29,30,1,5,102,ARUSHA
3,1,1,20,7,11,7,2,47,ARUSHA
3,1,1,85,18,5,4,18,130,ARUSHA
2,1,1,0,0,0,0,0,0,ARUSHA
2,1,1,2,21,0,0,0,23,ARUSHA
1,1,1,3,20,5,1,3,32,ARUSHA
3,1,1,0,1,0,1,4,6,ARUSHA
3,1,1,1,2,2,0,4,9,ARUSHA
3,1,1,4,33,7,4,7,55,ARUSHA
1,1,1,0,13,13,0,1,27,ARUSHA
1,1,1,1,6,27,2,2,38,ARUSHA
1,1,1,10,14,24,6,2,56,ARUSHA
1,1,1,4,7,0,0,1,12,ARUSHA
4,1,1,379,293,105,21,48,846,ARUSHA
1,1,1,85,62,30,2,1,180,ARUSHA
5,1,1,25,61,32,8,1,127,ARUSHA
1,1,1,132,225,37,3,12,409,ARUSHA
1,1,1,24,52,13,78,1,168,ARUSHA
2,1,1,0,4,0,0,0,4,ARUSHA
3,1,1,3,0,0,0,0,3,ARUSHA
3,1,1,17,56,7,11,19,110,ARUSHA
2,1,1,11,49,9,5,3,77,ARUSHA
4,1,1,191,308,184,59,35,777,ARUSHA
3,1,1,10,31,139,3,8,191,ARUSHA
1,1,1,24,14,145,1,8,192,ARUSHA
2,1,1,4,12,6,0,0,22,ARUSHA
3,1,1,2,10,5,0,0,17,ARUSHA
3,1,1,0,2,1,0,0,3,ARUSHA
2,1,1,2,21,0,0,0,23,ARUSHA
2,1,1,6,12,4,0,2,24,ARUSHA
2,1,1,1,11,7,0,3,22,ARUSHA
1,1,1,2,2,2,0,0,6,ARUSHA
3,1,1,1,11,2,0,0,14,ARUSHA
1,1,1,13,20,9,3,5,50,ARUSHA
3,1,1,10,31,0,7,3,51,ARUSHA
2,1,2,166,1157,157,1452,635,3567,COAST
4,1,2,305,1092,284,1107,605,3393,COAST
1,1,2,327,994,219,1351,523,3414,COAST
5,1,2,306,1092,284,1107,605,3394,COAST
4,1,2,105,217,37,1505,516,2380,COAST
5,1,2,101,159,76,1338,588,2262,COAST
5,1,2,33,150,44,1340,418,1985,COAST
4,1,2,135,154,135,1554,554,2532,COAST
4,1,2,32,56,32,470,286,876,COAST
5,1,2,31,43,15,324,113,526,COAST
4,1,2,23,36,12,591,160,822,COAST
5,1,2,166,297,146,809,661,2079,COAST
1,1,2,29,42,12,197,244,524,COAST
4,1,2,36,86,35,218,308,683,COAST
5,1,2,156,238,165,147,119,825,COAST
2,1,2,140,188,201,182,107,818,COAST
5,1,2,46,73,40,145,91,395,COAST
2,1,2,45,40,34,169,115,403,COAST
4,1,2,32,30,15,93,130,300,COAST
2,1,2,46,59,35,195,124,459,COAST
5,1,2,53,40,18,177,94,382,COAST
5,1,2,15,63,40,164,119,401,COAST
4,1,2,215,136,604,57,7,1019,COAST
4,1,2,213,133,137,284,141,908,COAST
5,1,2,104,94,86,292,113,689,COAST
4,1,2,132,98,17,279,140,666,COAST
3,1,2,1,2,0,0,1,4,COAST
2,1,2,4,1,2,4,2,13,COAST
4,1,2,7,20,2,0,3,32,COAST
3,1,2,12,7,2,3,7,31,COAST
4,1,2,72,57,1,4,6,140,COAST
2,1,2,31,51,2,0,3,87,COAST
2,1,2,21,11,0,2,0,34,COAST
3,1,2,28,68,77,227,3,403,COAST
3,1,2,2,11,0,0,4,17,COAST
4,1,2,37,17,0,0,0,54,COAST
5,1,2,127,75,33,5,3,243,COAST
2,1,2,98,37,9,10,10,164,COAST
1,1,2,25,20,2,1,2,50,COAST
4,1,2,80,42,26,3,4,155,COAST
2,1,2,81,65,23,3,14,186,COAST
5,1,2,35,59,40,42,27,203,COAST
2,1,2,10,15,4,2,26,57,COAST
4,1,2,40,37,5,9,22,113,COAST
2,1,2,1,16,2,0,0,19,COAST
3,1,2,0,6,4,37,5,52,COAST
4,1,2,2,6,3,28,7,46,COAST
2,1,2,0,82,3,1,0,86,COAST
2,1,2,8,0,38,54,0,100,COAST
